,0
0,0.42557999383851686
1,0.4293978507040676
2,0.09796868933923442
3,0.08381526966326557
4,0.23787427939962377
5,0.42914595287218077
6,0.4385026268835044
7,0.4100271921991873
8,0.41276524320031605
9,0.15266743229631322
10,0.3610430799387074
11,0.4363044566961034
12,0.12945640196058233
13,0.3205401419438806
14,0.42603296419895703
15,0.2434877896729
16,0.36916602358001976
17,0.25644384110504204
18,0.4326753583062233
19,0.3188717846988163
20,0.3838678568523457
21,0.04800967984056733
22,0.44058728633545197
23,0.3951581890812074
24,0.4253256042109367
25,0.3662124593217984
26,0.44344064759221496
27,0.3860158510954657
28,0.43546815684500373
29,0.4190842442847159
30,0.42889897029547125
31,0.4365981053109185
32,0.4335619149826248
33,0.1400321454189254
34,0.43911393785326847
35,0.4251663461797484
36,0.4133658316576106
37,0.4360871105760419
38,0.4440245643253031
39,0.42551555642444877
40,0.43171052101638857
41,0.252772861202094
42,0.44531592258768554
43,0.3351715932121742
44,0.42676585617941565
45,0.426050832962271
46,0.4434710132985565
47,0.45126828340234293
48,0.4504939793488636
49,0.44762936638666645
50,0.44938639266949887
51,0.4434091835546238
52,0.4349646114172045
53,0.40756096283144044
54,0.4354166356347648
55,0.45152914483209233
56,0.4250963391995512
57,0.43164110100131364
58,0.4472745060249428
59,0.4384560044221121
60,0.4494795477978442
61,0.44992184483468045
62,0.4507728211247229
63,0.44274175931340004
64,0.455734863496606
65,0.4469263584578175
66,0.43526716057569853
67,0.43534403848114295
68,0.44635513245208014
69,0.44452307598247
70,0.4352111427108307
71,0.4451448740844268
72,0.4651727281874781
73,0.4334840268897372
74,0.4465035890705378
75,0.04758529943540425
76,0.44521641714376564
77,0.418616733167372
78,0.44685807671931266
79,0.1498723713998372
80,0.4460771556079532
81,0.4012811091514795
82,0.4517473232013513
83,0.4199890576232046
84,0.4525672329262476
85,0.4374264352452682
86,0.4462515096690124
87,0.44151315052770074
88,0.4581099085919017
89,0.446605491893939
90,0.4550573231855052
91,0.44736206022513053
92,0.45636914698715886
93,0.44913153987427723
94,0.4521451112473874
95,0.2212258915135275
96,0.4506075227668519
97,0.3656976611981853
98,0.4414380222933183
99,0.45542418761121956
100,0.4596261616495344
101,0.44862428283294065
102,0.45538510326096426
103,0.45218003468178175
104,0.4552711937325594
105,0.4557500988399087
106,0.4518818293292936
107,0.43188780495115975
108,0.4343396576349306
109,0.43819514233210943
110,0.4378854980923964
111,0.4496165724617357
112,0.43619305414921616
113,0.44975055401848596
114,0.4526626639474798
115,0.44374504711038854
116,0.43786021930707214
117,0.4569282391891456
118,0.45171762435077295
119,0.44024987877750676
120,0.44813435182676226
121,0.44386376328231425
122,0.43066413287886784
123,0.44626989243946663
124,0.45151597608140226
