,0
0,0.2267
1,0.2336
2,0.044
3,0.0569
4,0.1505
5,0.2343
6,0.2194
7,0.1929
8,0.2273
9,0.0931
10,0.2111
11,0.2352
12,0.0605
13,0.1802
14,0.2283
15,0.0889
16,0.1823
17,0.1391
18,0.2393
19,0.1367
20,0.1803
21,0.0193
22,0.2393
23,0.2155
24,0.2206
25,0.2118
26,0.2412
27,0.1917
28,0.2327
29,0.2311
30,0.1711
31,0.231
32,0.2412
33,0.0632
34,0.2387
35,0.2264
36,0.2063
37,0.2399
38,0.2397
39,0.2375
40,0.2401
41,0.1049
42,0.2428
43,0.1704
44,0.227
45,0.2269
46,0.2382
47,0.2444
48,0.2381
49,0.2423
50,0.2412
51,0.2396
52,0.2449
53,0.2161
54,0.2441
55,0.2409
56,0.2174
57,0.2475
58,0.2429
59,0.2406
60,0.2408
61,0.2301
62,0.2459
63,0.2329
64,0.2463
65,0.2466
66,0.2502
67,0.2324
68,0.2507
69,0.2405
70,0.251
71,0.2384
72,0.2458
73,0.2458
74,0.2398
75,0.0225
76,0.2407
77,0.2309
78,0.2465
79,0.0763
80,0.2393
81,0.2232
82,0.2426
83,0.241
84,0.2464
85,0.2476
86,0.2453
87,0.2422
88,0.2466
89,0.2447
90,0.2413
91,0.2393
92,0.2434
93,0.2429
94,0.2405
95,0.1086
96,0.2443
97,0.1871
98,0.2483
99,0.2436
100,0.2453
101,0.2455
102,0.2466
103,0.2444
104,0.2477
105,0.2454
106,0.2445
107,0.2303
108,0.2415
109,0.2419
110,0.2473
111,0.2462
112,0.2351
113,0.2442
114,0.245
115,0.2479
116,0.2377
117,0.2428
118,0.2436
119,0.2525
120,0.2445
121,0.242
122,0.2418
123,0.2507
124,0.2417
125,0.2381
126,0.2502
127,0.2463
128,0.2331
129,0.2389
130,0.2437
131,0.25
132,0.2448
133,0.2448
134,0.2444
135,0.2509
136,0.2414
137,0.2442
138,0.2499
139,0.2498
140,0.2433
141,0.2473
142,0.2547
143,0.2478
144,0.2508
145,0.2478
146,0.2518
147,0.2476
148,0.2491
149,0.2376
150,0.2448
151,0.2502
152,0.243
153,0.2478
154,0.2113
155,0.2562
156,0.2463
157,0.247
158,0.252
159,0.2481
160,0.2526
161,0.2513
162,0.2497
163,0.2498
164,0.2481
165,0.2543
166,0.2483
167,0.2521
168,0.2535
169,0.2518
170,0.2484
171,0.25
172,0.2545
173,0.244
174,0.248
175,0.2475
176,0.2584
177,0.2431
178,0.251
179,0.2582
180,0.2476
181,0.2551
182,0.2522
183,0.246
184,0.2544
185,0.2495
186,0.2495
187,0.2491
188,0.2526
189,0.2488
190,0.2513
191,0.2514
192,0.2529
193,0.2615
194,0.2455
195,0.2661
196,0.249
197,0.2621
198,0.2584
199,0.2435
200,0.2479
201,0.2199
202,0.2491
203,0.2529
204,0.2538
205,0.2531
206,0.2515
207,0.2593
208,0.2522
209,0.2522
210,0.2539
211,0.252
212,0.2569
213,0.2502
214,0.2551
215,0.2555
216,0.2462
217,0.2518
218,0.2549
219,0.248
220,0.247
221,0.2484
222,0.2561
223,0.2458
224,0.255
225,0.2569
226,0.2503
227,0.2538
228,0.248
229,0.2539
230,0.2575
231,0.2438
232,0.2538
233,0.2501
234,0.2622
235,0.2474
236,0.2478
237,0.2569
238,0.2503
239,0.2522
240,0.249
